A,B,C
0.783238250496,45.48131,0.00300
1.91005349201,44.56355,0.01184
0.0430599293613,44.48522,0.01201
0.0825136888195,44.94271,0.00330
0.418695369789,44.85158,0.01119
0.105249436338,44.44037,0.00881
0.639179998971,45.03819,0.00636
0.11635376855,45.01922,0.01030
1.62911435303,44.83776,0.01180
0.992124260985,44.34770,0.01620
1.61047820847,44.65749,0.02087
0.0331338746695,45.15750,0.00316
0.479907260564,44.86974,0.00429
0.507826675173,45.20451,0.00682
3.59411657572,44.41496,0.02823
1.8302102174,44.07756,0.01569
3.70562601252,44.46839,0.01818
0.960969278232,44.94597,0.01473
0.276273062426,44.97579,0.00870
0.103355861017,45.31695,0.00348
1.28606896718,44.42739,0.01001
0.19706228008,44.67777,0.00818
0.462994064804,44.66881,0.00996
0.972193424393,43.97203,0.01931
2.37536923601,45.32038,0.01521
0.183977235834,44.90722,0.00845
0.206263431466,46.03777,0.00271
3.69275807658,44.68607,0.00933
0.515598942241,44.85840,0.01403
0.878771300738,44.66664,0.02041
1.66551937223,44.89960,0.00945
0.342615264672,45.16364,0.00529
0.0805334340935,45.38134,0.00108
0.182517416566,44.71793,0.01262
0.0353013241689,44.52579,0.00859
0.505105708275,44.77300,0.00709
0.274081512404,44.90015,0.01635
0.408392836705,44.95125,0.00533
0.129243756101,44.86517,0.01167
0.592435994096,44.04390,0.01457
0.239073472886,44.63855,0.00636
0.0822001844274,44.54728,0.01244
0.0489114216185,44.77257,0.00811
1.15557498638,45.09934,0.00988
0.824755951046,45.06645,0.00483
0.309149001398,44.86206,0.00619
0.192068283617,45.78051,0.00221
1.39539932508,44.68850,0.01901
0.186391948129,45.12138,0.01090
0.145732969927,44.82848,0.01646
0.246534134702,45.09556,0.00355
,44.48811,0.02844
1.85777204771,45.38660,0.00364
0.209066579996,44.78246,0.01541
2.95716543988,44.95779,0.00549
2.56438059782,44.90453,0.01543
0.113511365588,45.34227,0.00203
1.92492269835,45.01199,0.00722
3.73971616512,44.20388,0.01319
1.88236144006,44.42333,0.00776
1.68238097956,44.70367,0.01257
1.95910159862,45.16175,0.00414
0.214844762405,44.19785,0.01503
0.908732474602,44.47436,0.01178
2.88303708027,44.48945,0.02412
0.587025047104,45.16544,0.00446
3.0952665125,44.73836,0.01216
0.161633027774,44.70017,0.01567
3.11669238865,44.99169,0.00923
0.717315358168,45.37277,0.00411
0.607640324527,44.99354,0.00965
1.53766021765,44.65862,0.01016
0.198962294816,44.56841,0.01574
0.918929393545,44.65633,0.04556
0.21297666765,44.59963,0.00717
0.108969117589,44.73006,0.02122
0.937580047341,44.47789,0.01137
2.8077014538,45.01247,0.01123
2.59851131509,44.55196,0.01556
4.40995989067,44.98618,0.00803
0.707020789562,45.06799,0.01807
0.214623666924,44.86777,0.01203
2.05219810951,44.71317,0.02774
1.33778218988,44.93590,0.01085
,44.57434,0.02606
,44.45962,0.01028
,45.73744,0.00214
,44.28572,0.01334
,0.01334,0.01387
,44.39641,0.01567
,44.43794,0.01206
,44.40271,0.01366
,44.66232,0.01430
